Hospital_Name,Hospital_Address,Organization_Name,Organization_Address,Request_ID,Blood_Type,Rh_Factor
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,100193,B,+
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,100620,AB,+
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,101123,A,-
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,102119,A,+
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,102233,A,+
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,103236,A,+
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,104088,O,-
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,105676,B,+
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,108275,A,+
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,109642,B,-
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,109972,B,+
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,113987,O,-
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,117017,B,+
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,118787,A,-
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,119557,AB,+
Akron General Medical Center,1 Akron General Avenue Akron Ohio 44307,American Red Cross,501 West Market St. Akron OH 44303,120080,O,+
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,120661,O,-
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,121498,O,+
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,121931,A,-
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,123119,O,+
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,124296,AB,-
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,126099,O,-
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,126703,B,+
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,126906,O,+
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,128272,A,+
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,129417,AB,-
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,129785,AB,+
